Chennai,22-01-2015,Very Poor
Delhi,22-01-2015,Very Poor
Hyderabad,22-01-2015,Very Poor
Lucknow,22-01-2015,Very Poor
Mumbai,22-01-2015,Very Poor
Ahmedabad,23-01-2015,Very Poor
Bengaluru,23-01-2015,Very Poor
Chennai,23-01-2015,Very Poor
Delhi,23-01-2015,Poor
Hyderabad,23-01-2015,Poor
Lucknow,23-01-2015,Poor
Mumbai,23-01-2015,Poor
Ahmedabad,24-01-2015,Poor
Bengaluru,24-01-2015,Poor
Chennai,24-01-2015,Poor
Delhi,24-01-2015,Very Poor
Hyderabad,24-01-2015,Very Poor
Lucknow,24-01-2015,Very Poor
Mumbai,24-01-2015,Very Poor
Ahmedabad,25-01-2015,Very Poor
Bengaluru,25-01-2015,Very Poor
Chennai,25-01-2015,Very Poor
Delhi,25-01-2015,Very Poor
Hyderabad,25-01-2015,Very Poor
Lucknow,25-01-2015,Very Poor
Mumbai,25-01-2015,Very Poor
Ahmedabad,26-01-2015,Very Poor
Bengaluru,26-01-2015,Very Poor
Chennai,26-01-2015,Very Poor
Delhi,26-01-2015,Poor
Hyderabad,26-01-2015,Poor
Lucknow,26-01-2015,Poor
Mumbai,26-01-2015,Poor
Ahmedabad,27-01-2015,Poor
Bengaluru,27-01-2015,Poor
Chennai,27-01-2015,Poor
Delhi,27-01-2015,Very Poor
Hyderabad,27-01-2015,Very Poor
Lucknow,27-01-2015,Very Poor
Mumbai,27-01-2015,Very Poor
Ahmedabad,28-01-2015,Very Poor
Bengaluru,28-01-2015,Very Poor
Chennai,28-01-2015,Very Poor
Delhi,28-01-2015,Poor
Hyderabad,28-01-2015,Poor
Lucknow,28-01-2015,Poor
Mumbai,28-01-2015,Poor
Ahmedabad,29-01-2015,Poor
Bengaluru,29-01-2015,Poor
Chennai,29-01-2015,Poor
Delhi,29-01-2015,Very Poor
Hyderabad,29-01-2015,Very Poor
Lucknow,29-01-2015,Very Poor
Mumbai,29-01-2015,Very Poor
Ahmedabad,30-01-2015,Very Poor
Bengaluru,30-01-2015,Very Poor
Chennai,30-01-2015,Very Poor
Delhi,30-01-2015,Very Poor
Hyderabad,30-01-2015,Very Poor
Lucknow,30-01-2015,Very Poor
