city,date,pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,aqi
Ahmedabad,1/1/2015,192.89,136.78,0.92,18.22,17.15,18.9,0.92,27.64,133.36,346
Bengaluru,1/1/2015,192.89,136.78,3.26,17.33,10.88,20.36,0.33,3.54,10.73,346
Chennai,1/1/2015,192.89,136.78,16.3,15.39,22.68,4.59,1.17,9.2,11.35,346
Delhi,1/1/2015,313.22,607.98,69.16,36.39,110.59,33.85,15.2,9.25,41.68,472
Lucknow,1/1/2015,313.22,607.98,2.11,13.46,4.57,33.85,12.15,169.57,25.92,472
Mumbai,1/1/2015,313.22,607.98,2.11,13.46,27.38,33.85,0,169.57,25.92,472
Ahmedabad,2/1/2015,313.22,607.98,0.97,15.69,16.46,33.85,0.97,24.55,34.06,472
Bengaluru,2/1/2015,313.22,607.98,6.05,19.73,14.14,23.74,1.35,3.97,22.77,472
Chennai,2/1/2015,313.22,607.98,16.49,13.42,23.09,7.83,1.23,8.61,9.16,472
Delhi,2/1/2015,186.18,269.55,62.09,32.87,88.14,31.83,9.54,6.65,29.97,454
Lucknow,2/1/2015,186.18,269.55,2.37,10.76,3.8,31.83,14,169.46,21.66,454
Mumbai,2/1/2015,186.18,269.55,2.37,10.76,26.2,31.83,0,169.46,21.66,454
Ahmedabad,3/1/2015,186.18,269.55,17.4,19.3,29.7,31.83,17.4,29.07,30.7,454
Bengaluru,3/1/2015,186.18,269.55,11.91,19.88,20.72,4.32,17.4,13.61,12.03,454
Chennai,3/1/2015,186.18,269.55,9.72,19.56,9.99,4.63,0.77,48.23,13.45,454
Delhi,3/1/2015,87.18,131.9,25.73,30.31,47.95,69.55,10.61,2.65,19.71,143
Lucknow,3/1/2015,87.18,131.9,2.27,12.43,4.22,69.55,12.78,169.77,22.4,143
Mumbai,3/1/2015,87.18,131.9,2.27,12.43,26.04,69.55,0,169.77,22.4,143
Ahmedabad,4/1/2015,87.18,131.9,1.7,18.48,17.97,69.55,1.7,18.59,36.08,143
Bengaluru,4/1/2015,87.18,131.9,7.45,21.61,16.88,0.87,5.05,6.52,17.7,143
Chennai,4/1/2015,87.18,131.9,9.6,16.2,11.71,5.23,1,27.96,10.33,143
Delhi,4/1/2015,151.84,241.84,25.01,36.91,48.62,130.36,11.54,4.63,25.36,319
Hyderabad,4/1/2015,151.84,241.84,3.7,17.19,20.89,130.36,0.3,2.58,30.34,319
Lucknow,4/1/2015,151.84,241.84,2.24,12.46,4.22,130.36,11.85,169.56,21.41,319
Mumbai,4/1/2015,151.84,241.84,2.24,12.46,25.97,130.36,0,169.56,21.41,319
Ahmedabad,5/1/2015,151.84,241.84,22.1,21.42,37.76,130.36,22.1,39.33,39.31,319
Bengaluru,5/1/2015,151.84,241.84,9.52,22.17,21.76,31.38,1.83,4.71,12.72,319
Chennai,5/1/2015,151.84,241.84,9.16,16.3,12.94,5.5,0.9,16.6,9.36,319
Delhi,5/1/2015,146.6,219.13,14.01,34.92,38.25,122.88,9.2,3.33,23.2,325
Hyderabad,5/1/2015,146.6,219.13,3.61,9.69,13.3,122.88,0.23,5.19,31.28,325
Lucknow,5/1/2015,146.6,219.13,2.32,12.27,4.22,122.88,13.34,169.48,20.6,325
Mumbai,5/1/2015,146.6,219.13,2.32,12.27,25.18,122.88,0,169.48,20.6,325
Ahmedabad,6/1/2015,146.6,219.13,45.41,38.48,81.5,122.88,45.41,45.76,46.51,325
Bengaluru,6/1/2015,146.6,219.13,6.6,23.2,16.24,26.35,0.52,4.42,13.82,325
Chennai,6/1/2015,146.6,219.13,30.58,35.6,13.42,5.46,0.91,21.98,12.61,325
Delhi,6/1/2015,149.58,252.1,17.21,37.84,42.46,134.97,9.44,3.66,26.83,318
Hyderabad,6/1/2015,149.58,252.1,4.21,22.02,26.23,134.97,0.31,9.09,28.56,318
Lucknow,6/1/2015,149.58,252.1,2.33,12.91,4.3,134.97,14.21,178.63,21.49,318
Mumbai,6/1/2015,149.58,252.1,2.33,12.91,26.41,134.97,0,178.63,21.49,318
Ahmedabad,7/1/2015,149.58,252.1,112.16,40.62,130.77,134.97,112.16,32.28,33.47,318
Bengaluru,7/1/2015,149.58,252.1,22.6,28.66,30.84,22.73,1.46,5.13,16.98,318
Chennai,7/1/2015,149.58,252.1,43.92,46.38,13.32,4.9,1.22,28.13,13.94,318
Delhi,7/1/2015,217.87,376.51,26.99,40.15,52.41,134.82,9.78,5.82,28.96,353
Hyderabad,7/1/2015,217.87,376.51,26.08,40.08,66.15,134.82,0.53,9.03,31.08,353
Lucknow,7/1/2015,217.87,376.51,2.68,17.12,4.64,134.82,11.24,169,23.67,353
Mumbai,7/1/2015,217.87,376.51,2.68,17.12,27.08,134.82,0,169,23.67,353
Ahmedabad,8/1/2015,217.87,376.51,80.87,36.74,96.75,134.82,80.87,38.54,31.89,353
Bengaluru,8/1/2015,217.87,376.51,7.5,31.1,21.16,38.67,2.3,7.07,17.35,353
Chennai,8/1/2015,217.87,376.51,26.74,37.79,10.98,3.71,1.15,21.26,38.29,353
Delhi,8/1/2015,229.9,360.95,23.34,43.16,51.21,138.13,11.01,3.31,30.51,383
Hyderabad,8/1/2015,229.9,360.95,10.31,33.02,43.33,138.13,0.44,8.47,35.72,383
Lucknow,8/1/2015,229.9,360.95,4.19,24.45,3.97,138.13,12.68,169,19.69,383
Mumbai,8/1/2015,229.9,360.95,4.19,24.45,27.48,138.13,0,169,19.69,383
Ahmedabad,9/1/2015,229.9,360.95,29.16,31,48,138.13,29.16,58.68,25.75,383
Bengaluru,9/1/2015,229.9,360.95,6.75,25.98,15.03,23.48,0.54,12.84,16.27,383
Chennai,9/1/2015,229.9,360.95,39.24,42.65,10.52,5.81,1.31,22.82,27.34,383
Delhi,9/1/2015,201.66,397.43,19.18,38.56,45.6,140.6,11.09,3.48,32.94,375
Hyderabad,9/1/2015,201.66,397.43,8.79,31.6,40.39,140.6,0.39,8.92,34.77,375
Lucknow,9/1/2015,201.66,397.43,4.27,24.74,3.13,140.6,13.99,182.39,21.73,375
Mumbai,9/1/2015,201.66,397.43,4.27,24.74,27.22,140.6,0,182.39,21.73,375
Ahmedabad,10/1/2015,201.66,397.43,4.27,7.04,0,140.6,0,8.29,4.55,375
Bengaluru,10/1/2015,201.66,397.43,3.38,29.23,16.76,34.17,1.69,3.08,25.01,375
Chennai,10/1/2015,201.66,397.43,10.2,19.17,11.15,3.96,0.98,17.36,27.19,375
Delhi,10/1/2015,221.02,361.74,24.79,46.39,55.19,134.06,9.7,5.91,34.12,376
Hyderabad,10/1/2015,221.02,361.74,8.12,32.52,40.64,134.06,0.43,9.59,34.63,376
Lucknow,10/1/2015,221.02,361.74,4.02,20.67,4.05,134.06,14.06,174.58,27.36,376
Mumbai,10/1/2015,221.02,361.74,4.02,20.67,28.03,134.06,0,174.58,27.36,376
Ahmedabad,11/1/2015,221.02,361.74,132.07,55.8,24.53,134.06,132.07,25.03,6.79,376
Bengaluru,11/1/2015,221.02,361.74,3.97,29.84,17.49,29.74,2.59,8.2,16.07,376
Chennai,11/1/2015,221.02,361.74,55.04,49.87,14.65,3.77,0.8,21.75,19.04,376
Delhi,11/1/2015,205.41,393.2,28.46,47.29,57.88,131.1,10.98,5.54,50.37,379
Hyderabad,11/1/2015,205.41,393.2,14,31.96,45.96,131.1,0.39,12.53,38.74,379
Lucknow,11/1/2015,205.41,393.2,3.53,18.77,4.22,131.1,15.69,178.93,27.51,379
Mumbai,11/1/2015,205.41,393.2,3.53,18.77,27.57,131.1,0,178.93,27.51,379
Ahmedabad,12/1/2015,205.41,393.2,52.04,40.67,90.24,131.1,52.04,51.84,45.89,379
Bengaluru,12/1/2015,205.41,393.2,10.85,28.4,21.85,41.39,0.61,7.16,16.41,379
Chennai,12/1/2015,205.41,393.2,23.78,30.31,15.71,4.16,1.07,28.51,18.32,379
Delhi,12/1/2015,212.41,345.63,24.77,44.71,54.66,148.51,9.3,5.17,40.08,375
Hyderabad,12/1/2015,212.41,345.63,13.26,30.2,43.46,148.51,0.48,8.58,20.94,375
Lucknow,12/1/2015,212.41,345.63,3.09,17.52,4.22,148.51,16.47,176.44,26.69,375
Mumbai,12/1/2015,212.41,345.63,3.09,17.52,28.44,148.51,0,176.44,26.69,375
Ahmedabad,13-01-2015,212.41,345.63,48.82,44.2,87.09,148.51,48.82,68.21,35.16,375
Bengaluru,13-01-2015,212.41,345.63,10.65,30.56,22.9,35.34,0.63,6.51,10.34,375
Chennai,13-01-2015,212.41,345.63,48.95,64.35,12.73,6.06,0.97,16.44,17.25,375
Delhi,13-01-2015,197.61,301.04,34.28,45.88,62.95,145.48,11.52,5.95,39.54,366
Hyderabad,13-01-2015,197.61,301.04,33.63,23.37,57,145.48,0.72,3.01,13.66,366
Lucknow,13-01-2015,197.61,301.04,3.39,15.84,5.15,145.48,11.81,187.02,30.22,366
Mumbai,13-01-2015,197.61,301.04,3.39,15.84,29.15,145.48,0,187.02,30.22,366
Ahmedabad,14-01-2015,197.61,301.04,19.2,27.86,33.05,145.48,19.2,52.65,20.96,366
Bengaluru,14-01-2015,197.61,301.04,9.09,25.94,19.43,39.82,1.83,8.66,16.47,366
Chennai,14-01-2015,197.61,301.04,29.88,38.23,15.74,8.79,1.22,20.32,23.68,366
Delhi,14-01-2015,164.39,227.38,20.78,41.17,48.09,166.7,10.32,4.85,42.05,353
Hyderabad,14-01-2015,164.39,227.38,32,23.01,55,166.7,0.86,1.77,6.14,353
Lucknow,14-01-2015,164.39,227.38,2.89,15.26,4.7,166.7,12.86,42.93,34.77,353
Mumbai,14-01-2015,164.39,227.38,2.89,15.26,28.59,166.7,0,42.93,34.77,353
Ahmedabad,15-01-2015,164.39,227.38,0.6,16.96,16.6,166.7,0.6,28.89,47.63,353
Bengaluru,15-01-2015,164.39,227.38,6.79,20.64,15.92,21.43,3.29,6.24,19.35,353
Chennai,15-01-2015,164.39,227.38,18.58,23.87,12.97,4.53,1.01,21.92,14.1,353
Delhi,15-01-2015,166.19,283.93,47.91,56.7,79.73,124.64,10.81,6.94,43.25,340
Hyderabad,15-01-2015,166.19,283.93,16.05,22.18,38.22,124.64,0.64,2.23,9.29,340
Lucknow,15-01-2015,166.19,283.93,2.44,8.73,5.06,124.64,11.83,2.23,36.26,340
Mumbai,15-01-2015,166.19,283.93,2.44,8.73,27.83,124.64,0,2.23,36.26,340
Ahmedabad,16-01-2015,166.19,283.93,1.63,21.72,22.86,124.64,1.63,38.27,46.03,340
Bengaluru,16-01-2015,166.19,283.93,10.74,18.51,22.36,10.27,16.41,19.28,16.02,340
Chennai,16-01-2015,166.19,283.93,12.29,18.39,12.51,4.03,1.17,13.18,13.22,340
Delhi,16-01-2015,174.98,309.99,42.33,49.41,70.6,136.4,11.46,4.69,34.7,356
Hyderabad,16-01-2015,174.98,309.99,11.73,19.17,30.9,136.4,0.47,2.82,19.01,356
Lucknow,16-01-2015,174.98,309.99,1.78,8.72,3.47,136.4,12.02,2.82,47.81,356
Mumbai,16-01-2015,174.98,309.99,1.78,8.72,27.1,136.4,0,2.82,47.81,356
Ahmedabad,17-01-2015,174.98,309.99,11.44,24.73,34.75,136.4,11.44,49.5,52.24,356
Bengaluru,17-01-2015,174.98,309.99,8.17,17.37,21.64,11.05,15.98,24.91,14.33,356
Chennai,17-01-2015,174.98,309.99,9.57,17.4,12.93,3.77,1.7,10.44,26.34,356
Delhi,17-01-2015,196.46,356.2,42.18,53.04,80.18,125.49,8.87,5.13,25.77,360
Hyderabad,17-01-2015,196.46,356.2,20.28,20.48,40.76,125.49,0.61,2.65,52.25,360
Lucknow,17-01-2015,196.46,356.2,2.15,5.4,4.3,125.49,10.27,87.87,34.72,360
Mumbai,17-01-2015,196.46,356.2,2.15,5.4,27.21,125.49,0,87.87,34.72,360
Ahmedabad,18-01-2015,196.46,356.2,6.1,25.77,29.57,125.49,6.1,48.43,53.49,360
Bengaluru,18-01-2015,196.46,356.2,6.16,17.2,18.79,14.23,9.04,22.18,22.48,360
Chennai,18-01-2015,196.46,356.2,24.48,30.7,9.26,3.63,1.12,11.33,29.08,360
Delhi,18-01-2015,201.51,359.75,45.51,53.77,75.83,120.45,8.99,5.43,23.22,370
Hyderabad,18-01-2015,201.51,359.75,13.45,21.93,35.37,120.45,0.55,2.55,7.87,370
Lucknow,18-01-2015,201.51,359.75,1.99,4.89,4.72,120.45,9.54,2.55,26.07,370
Mumbai,18-01-2015,201.51,359.75,1.99,4.89,27.89,120.45,0,2.55,26.07,370
Ahmedabad,19-01-2015,201.51,359.75,2.51,26.88,27.45,120.45,2.51,50.03,49.48,370
Bengaluru,19-01-2015,201.51,359.75,7.83,16.74,19.44,13.47,8.09,27.99,23.34,370
Chennai,19-01-2015,201.51,359.75,42.76,41.8,9.43,3.82,2.35,9.72,27.45,370
Delhi,19-01-2015,183.35,305.13,27.32,39.88,55.67,148.49,9.02,4.21,25.34,362
Hyderabad,19-01-2015,183.35,305.13,12.24,21.48,33.72,148.49,0.51,2.86,10.88,362
Lucknow,19-01-2015,183.35,305.13,3.38,8.14,4.22,148.49,13.28,2.86,31.2,362
Mumbai,19-01-2015,183.35,305.13,3.38,8.14,26.78,148.49,0,2.86,31.2,362
Ahmedabad,20-01-2015,183.35,305.13,7.92,26.8,32.4,148.49,7.92,58.87,56.37,362
Bengaluru,20-01-2015,183.35,305.13,10.44,7.24,22.66,7.29,4.05,92.66,103.68,362
Chennai,20-01-2015,183.35,305.13,21.82,27.9,11.76,20.14,1.99,8.52,32.32,362
Delhi,20-01-2015,165.63,257.04,16.47,34.23,37.68,146.31,8.03,4.11,22.69,340
Hyderabad,20-01-2015,165.63,257.04,13.19,20.47,33.66,146.31,0.46,2.63,8.66,340
Lucknow,20-01-2015,165.63,257.04,4.07,11.63,4.22,146.31,14.09,2.63,33.76,340
Mumbai,20-01-2015,165.63,257.04,4.07,11.63,25.39,146.31,0,2.63,33.76,340
Ahmedabad,21-01-2015,165.63,257.04,9.52,33.56,39.28,146.31,9.52,106.93,48.75,340
Bengaluru,21-01-2015,165.63,257.04,7.02,5.45,18.26,5.07,18.3,82.07,48.75,340
Chennai,21-01-2015,165.63,257.04,43.8,59.26,8.54,3.85,1.79,9.28,18.84,340
Delhi,21-01-2015,159.54,235.27,12.27,22.56,33.02,63.23,9.01,7.05,18.56,338
Hyderabad,21-01-2015,159.54,235.27,12.78,18.09,30.87,63.23,0.4,2.71,5.24,338
Lucknow,21-01-2015,159.54,235.27,16.81,19.67,4.22,63.23,13.49,2.71,25.41,338
Mumbai,21-01-2015,159.54,235.27,16.81,19.67,25.04,63.23,0,2.71,25.41,338
Ahmedabad,22-01-2015,159.54,235.27,9.05,17.51,22.33,63.23,9.05,23.71,42.22,338
Bengaluru,22-01-2015,159.54,235.27,17.15,13.57,29.6,3.65,3.32,57.51,41.95,338
Chennai,22-01-2015,159.54,235.27,45.63,46.77,8.85,4.6,1.43,7.64,24.98,338
Delhi,22-01-2015,143.68,183.89,14.75,21.82,34.88,39.65,10.58,8.64,6.94,332
Hyderabad,22-01-2015,143.68,183.89,14.64,19.01,33.65,39.65,0.43,3.02,4.11,332
Lucknow,22-01-2015,143.68,183.89,13.04,17.07,3.72,39.65,8.3,141.76,34.07,332
Mumbai,22-01-2015,143.68,183.89,13.04,17.07,24.28,39.65,0,141.76,34.07,332
Ahmedabad,23-01-2015,143.68,183.89,22.53,27.96,47.79,39.65,22.53,39.19,32.92,332
Bengaluru,23-01-2015,143.68,183.89,3.8,12.82,12,10.06,5.04,27.33,17.78,332
Chennai,23-01-2015,143.68,183.89,34.64,37.55,10.49,4.01,3.43,10.57,42.33,332
Delhi,23-01-2015,128.73,136.07,11.99,17.35,29.46,39.98,8.74,6.77,10.91,254
Hyderabad,23-01-2015,128.73,136.07,15.16,21.35,36.51,39.98,0.47,3.37,9.41,254
Lucknow,23-01-2015,128.73,136.07,5.72,15.33,3.3,39.98,8.56,3.37,49.69,254
Mumbai,23-01-2015,128.73,136.07,5.72,15.33,26.51,39.98,0,3.37,49.69,254
Ahmedabad,24-01-2015,128.73,136.07,2.03,20.39,21.4,39.98,2.03,40.07,32.49,254
Bengaluru,24-01-2015,128.73,136.07,4.77,16.27,9.73,14.88,2.42,6.47,14.72,254
Chennai,24-01-2015,128.73,136.07,12.39,9.89,14.62,4.36,0.84,7.39,37.17,254
Delhi,24-01-2015,164.98,200.02,10.38,15.77,25.49,38.77,9.39,8.89,9.35,324
Hyderabad,24-01-2015,164.98,200.02,5.53,20.44,25.97,38.77,0.38,2.66,30.88,324
Lucknow,24-01-2015,164.98,200.02,4.61,12.79,3.8,38.77,6.83,2.66,45.87,324
Mumbai,24-01-2015,164.98,200.02,4.61,12.79,26.59,38.77,0,2.66,45.87,324
Ahmedabad,25-01-2015,164.98,200.02,1.42,20.43,20.19,38.77,1.42,58.41,39.26,324
Bengaluru,25-01-2015,164.98,200.02,3.19,16.32,8.72,15.42,3.39,3.32,16.27,324
Chennai,25-01-2015,164.98,200.02,34.39,10.14,14.56,3.98,0.85,7.16,17.11,324
Delhi,25-01-2015,148.59,203.81,11.82,20.83,28.29,45.62,11.44,5.96,16.65,333
Hyderabad,25-01-2015,148.59,203.81,4.32,19.71,24.02,45.62,0.36,2.71,33.1,333
Lucknow,25-01-2015,148.59,203.81,3.78,10.64,3.05,45.62,12.66,2.71,58.79,333
Mumbai,25-01-2015,148.59,203.81,3.78,10.64,26.27,45.62,0,2.71,58.79,333
Ahmedabad,26-01-2015,148.59,203.81,2.27,21.16,21.81,45.62,2.27,43.73,39.83,333
Bengaluru,26-01-2015,148.59,203.81,2.27,13.85,8.43,16.63,5.39,2.95,21.35,333
Chennai,26-01-2015,148.59,203.81,30.07,10.44,14.43,3.53,2.07,7.38,20.18,333
Delhi,26-01-2015,129.34,137.86,12.46,25.66,29.48,60.96,10.19,6.78,18.18,292
Hyderabad,26-01-2015,129.34,137.86,3.51,13.54,17.06,60.96,0.3,2.69,36.99,292
Lucknow,26-01-2015,129.34,137.86,6.83,13.62,4.05,60.96,9.29,2.69,33.98,292
Mumbai,26-01-2015,129.34,137.86,6.83,13.62,26.86,60.96,0,2.69,33.98,292
Ahmedabad,27-01-2015,129.34,137.86,2.19,21.7,23.26,60.96,2.19,43.28,41.1,292
Bengaluru,27-01-2015,129.34,137.86,10.92,16.71,15.67,18.57,1.71,3.09,27.37,292
Chennai,27-01-2015,129.34,137.86,8.83,12.63,13.41,4.28,1.16,7.14,27.02,292
Delhi,27-01-2015,154.2,217.2,14.41,30.39,34.63,40.96,10.36,6.42,17.11,318
Hyderabad,27-01-2015,154.2,217.2,4.61,18.54,23.16,40.96,0.33,2.84,36.18,318
Lucknow,27-01-2015,154.2,217.2,6.68,20.12,3.61,40.96,9.94,2.84,31.3,318
Mumbai,27-01-2015,154.2,217.2,6.68,20.12,27.26,40.96,0,2.84,31.3,318
Ahmedabad,28-01-2015,73.24,217.2,5.72,21.11,25.84,40.96,5.72,36.52,62.42,318
Bengaluru,28-01-2015,73.24,217.2,6.31,14.85,11.58,16.15,4.87,6.53,17.05,318
Chennai,28-01-2015,73.24,217.2,10.41,16.83,14.9,3.69,2.81,8.06,36.68,318
Delhi,28-01-2015,134.6,156.9,18.96,28.6,35.57,49.71,10.21,5.21,15.23,295
Hyderabad,28-01-2015,134.6,156.9,4.55,19.6,24.15,49.71,0.36,2.71,34.95,295
Lucknow,28-01-2015,134.6,156.9,3.06,28.51,3.13,49.71,7.78,2.71,47.82,295
Mumbai,28-01-2015,134.6,156.9,3.06,28.51,26.45,49.71,0,2.71,47.82,295
Ahmedabad,29-01-2015,83.13,156.9,6.93,28.71,33.72,49.71,6.93,49.52,59.76,209
Bengaluru,29-01-2015,83.13,156.9,86.9,10.45,49.95,16.4,2.26,3.03,18.78,209
Chennai,29-01-2015,83.13,156.9,44.65,41.79,13.2,3.95,0.84,8.46,26.29,209
Delhi,29-01-2015,173.13,277,23.14,38.34,48.89,62.03,11.74,5.53,16.29,327
Hyderabad,29-01-2015,173.13,277,4.37,20.68,25.05,62.03,0.41,3.19,32.16,327
Lucknow,29-01-2015,173.13,277,2.42,21.54,2.21,62.03,12.85,3.19,56.81,327
Mumbai,29-01-2015,173.13,277,2.42,21.54,26.3,62.03,0,3.19,56.81,327
Ahmedabad,30-01-2015,79.84,277,13.85,28.68,41.08,62.03,13.85,48.49,97.07,328
Bengaluru,30-01-2015,79.84,277,62.22,4.93,51.53,13.32,1.06,24.31,19.51,328
Chennai,30-01-2015,79.84,277,21.66,23.84,15.56,5.54,0.82,9.46,21.75,328
Delhi,30-01-2015,178.04,272.61,19.8,38.43,44.45,69.78,11.58,6.43,14.91,345
Hyderabad,30-01-2015,178.04,272.61,8.08,32.1,40.18,69.78,0.55,3.34,25.65,345
Lucknow,30-01-2015,178.04,272.61,2.36,16.56,2.21,69.78,14.92,3.34,57.77,345
Mumbai,30-01-2015,178.04,272.61,2.36,16.56,25.64,69.78,0,3.34,57.77,345
Ahmedabad,31-01-2015,94.52,272.61,24.39,32.66,52.61,69.78,24.39,67.39,111.33,514
Bengaluru,31-01-2015,94.52,272.61,36.24,11.11,30.07,7.77,0.46,29.18,23.21,514
Chennai,31-01-2015,94.52,272.61,44.76,46.59,14.26,4.37,0.94,7.88,38.57,514
Delhi,31-01-2015,158.59,207.06,30.67,41.36,57.77,67.66,8.7,5.03,17.51,334
Hyderabad,31-01-2015,158.59,207.06,6.68,28.57,35.25,67.66,0.53,5.55,31.78,334
Lucknow,31-01-2015,158.59,207.06,6.4,18.36,3.96,67.66,11.48,5.55,43.57,334
Mumbai,31-01-2015,158.59,207.06,6.4,18.36,27.34,67.66,0,5.55,43.57,334
Ahmedabad,1/2/2015,135.99,207.06,43.48,42.08,84.57,67.66,43.48,75.23,102.7,782
Bengaluru,1/2/2015,135.99,207.06,2.99,22.14,13.01,7.48,0.36,7.36,20.75,782
Chennai,1/2/2015,135.99,207.06,21.43,26.05,12.53,4.2,0.71,7.76,42.61,782
Delhi,1/2/2015,211.59,371.05,57.56,58.17,93.17,96.69,13.08,9.9,23.28,358
Hyderabad,1/2/2015,211.59,371.05,10.45,32.65,43.1,96.69,0.58,5.06,23.39,358
Lucknow,1/2/2015,211.59,371.05,7.43,20.19,4.3,96.69,13.58,70.12,33.27,358
Mumbai,1/2/2015,211.59,371.05,7.43,20.19,27.25,96.69,0,70.12,33.27,358
Ahmedabad,2/2/2015,178.33,371.05,54.56,35.31,72.8,96.69,54.56,55.04,107.38,914
Bengaluru,2/2/2015,178.33,371.05,5.83,19.19,13.06,11.33,0.46,6.14,19.75,914
Chennai,2/2/2015,178.33,371.05,10.61,15.82,20.87,3.63,1.59,10.58,38.8,914
Delhi,2/2/2015,163.64,219.84,13.7,37.25,39.34,84.49,10.59,5.31,28.38,349
Hyderabad,2/2/2015,163.64,219.84,5.51,23.89,29.4,84.49,0.4,3.04,30.22,349
Lucknow,2/2/2015,163.64,219.84,3.08,18.3,3.13,84.49,15.41,3.04,46.3,349
Mumbai,2/2/2015,163.64,219.84,3.08,18.3,26,84.49,0,3.04,46.3,349
Ahmedabad,3/2/2015,139.7,219.84,30.61,28.4,56.73,84.49,30.61,33.79,73.6,660
Bengaluru,3/2/2015,139.7,219.84,4.56,18.47,12.44,11.78,0.59,5.02,20.64,660
Chennai,3/2/2015,139.7,219.84,9.09,14.89,17.92,5.12,0.98,6.83,29.08,660
Delhi,3/2/2015,157.71,194.09,12.28,31.05,34.1,66.38,8.21,5.64,28.56,334
Hyderabad,3/2/2015,157.71,194.09,4.29,19.41,23.71,66.38,0.41,3.65,38.1,334
Lucknow,3/2/2015,157.71,194.09,3.71,14.16,4.14,66.38,15.62,3.65,35.58,334
Mumbai,3/2/2015,157.71,194.09,3.71,14.16,28.16,66.38,0,3.65,35.58,334
Ahmedabad,4/2/2015,80.65,194.09,2.37,22.83,24,66.38,2.37,25.73,47.3,294
Bengaluru,4/2/2015,80.65,194.09,5.92,22.46,15.19,11.88,1.08,4.46,18.62,294
Chennai,4/2/2015,80.65,194.09,9.22,14,16.97,27.6,0.85,4.89,36.62,294
Delhi,4/2/2015,137.26,147.08,15.21,29.69,36.06,53.28,9.11,5.06,15.07,313
Hyderabad,4/2/2015,137.26,147.08,44.13,45.9,90.03,53.28,0.83,4.64,24.27,313
Lucknow,4/2/2015,137.26,147.08,4.32,13.12,3.13,53.28,13.67,4.64,33.45,313
Mumbai,4/2/2015,137.26,147.08,4.32,13.12,29.13,53.28,0,4.64,33.45,313
Ahmedabad,5/2/2015,58.36,147.08,2.6,21.39,23.31,53.28,2.6,32.66,53.54,149
Bengaluru,5/2/2015,58.36,147.08,12.17,26.36,20.48,11.11,0.59,7.65,16.06,149
Chennai,5/2/2015,58.36,147.08,15.68,19.17,16.44,76.99,0.95,7.48,29.93,149
Delhi,5/2/2015,131.76,127.42,23.15,36.51,47.4,51.24,8.18,4.85,21.7,262
Hyderabad,5/2/2015,131.76,127.42,30.08,41.93,72.01,51.24,0.78,5.58,26.61,262
Lucknow,5/2/2015,131.76,127.42,3.55,14.52,4.47,51.24,11.85,5.58,29.48,262
Mumbai,5/2/2015,131.76,127.42,3.55,14.52,28.98,51.24,0,5.58,29.48,262
Ahmedabad,6/2/2015,79.29,127.42,1.16,26.94,26.83,51.24,1.16,67.41,59.3,190
Bengaluru,6/2/2015,79.29,127.42,5.04,25.98,16.42,11.71,0.5,3.12,13.76,190
Chennai,6/2/2015,79.29,127.42,11.9,16.7,17.47,81.78,0.76,7.36,37.13,190
Delhi,6/2/2015,151.6,330.99,46.66,67,84.76,63.45,5.51,9.13,33.92,303
Hyderabad,6/2/2015,151.6,330.99,17.96,36.6,54.55,63.45,0.52,4.75,22.69,303
Lucknow,6/2/2015,151.6,330.99,3.22,19.2,4.04,63.45,11.35,4.75,48.74,303
Mumbai,6/2/2015,151.6,330.99,3.22,19.2,28.69,63.45,0,4.75,48.74,303
Ahmedabad,7/2/2015,88.7,330.99,7.29,31.32,37.73,63.45,7.29,80.09,44.76,247
Bengaluru,7/2/2015,88.7,330.99,10.59,22.46,18.41,12.88,1.45,5.51,20.96,247
Chennai,7/2/2015,88.7,330.99,8.78,13.46,16.99,25.85,0.89,6.42,33.12,247
Delhi,7/2/2015,160.75,210.52,37.54,57.69,71.68,58.15,10.28,6.91,43.44,329
Hyderabad,7/2/2015,160.75,210.52,6.2,22.94,29.14,58.15,0.39,3.97,29.57,329
Lucknow,7/2/2015,160.75,210.52,10.55,31.35,5.15,58.15,13.95,3.97,35.46,329
Mumbai,7/2/2015,160.75,210.52,10.55,31.35,27.46,58.15,0,3.97,35.46,329
Ahmedabad,8/2/2015,74.28,210.52,8.92,27.3,33.42,58.15,8.92,54.28,47.42,379
Bengaluru,8/2/2015,74.28,210.52,7.18,26.06,16.75,8.84,0.45,7.25,22.81,379
Chennai,8/2/2015,74.28,210.52,8.35,12.98,17.84,46.65,1.16,6.21,33.17,379
Delhi,8/2/2015,145.34,215.69,30.54,50.39,61.78,66.72,5.39,8.66,30.43,323
Hyderabad,8/2/2015,145.34,215.69,4.65,15.96,20.62,66.72,0.32,3.55,46.15,323
Lucknow,8/2/2015,145.34,215.69,7.23,33.06,4.22,66.72,14.63,3.55,27.08,323
Mumbai,8/2/2015,145.34,215.69,7.23,33.06,26.77,66.72,0,3.55,27.08,323
Ahmedabad,9/2/2015,113.93,215.69,4.32,24.27,26.86,66.72,4.32,48.73,39.94,341
Bengaluru,9/2/2015,113.93,215.69,3.78,22.48,13.7,13.61,0.64,3.37,31.01,341
Chennai,9/2/2015,113.93,215.69,8.43,13.43,19.17,37.42,1.1,6.27,31.08,341
Delhi,9/2/2015,134.67,109.86,19.95,39.18,44.48,74.29,5.11,9.7,20.62,266
